"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Missoula, MONTANA",121041,68210,10,96,77,11.4,2.6,120.9,21,4,13,25,8,92,17,8.6,32,15,7,3.5,4.9,80,23.6,32,866:1,1100:1,163:1,1630,46,52,16,15,27,5,91,Y,0.25,42,59,14,112,78.9,319,47,5,10,16,7,127,14,10,6,529:1,17.8,17.3,25.3
"Musselshell, MONTANA",5197,55291,23,91,61,8.2,2.9,78.3,62,,15,19,19,51,25,7.7,34,18,9,3.7,4.8,153,,34,4896:1,,2599:1,1768,36,30,12,41,33,37,80,Y,1,39,81,9,17,75.8,471,,,12,17,9,,,14,9,5197:1,19.9,26.9,100.0
"Park, MONTANA",17790,68594,12,97,74,11.4,2.7,77.1,43,,13,21,6,75,21,7.9,28,15,8,3.3,4.9,122,20.8,15,920:1,1617:1,282:1,2697,33,28,14,36,28,,87,Y,0.48,24,70,13,42,78.6,358,87,,10,16,8,91,,10,7,890:1,16.7,24.5,45.6
"Petroleum, MONTANA",524,48991,19,100,76,0.0,3.0,,,,13,19,,10,22,6.9,33,17,,3.4,4.8,,,,519:0,524:0,524:0,,40,48,9,30,32,,89,Y,1,,70,9,0,,,,,11,16,8,0,,7,5,524:0,15.5,30.9,100.0
"Phillips, MONTANA",4240,56043,20,93,62,9.5,3.7,53.4,,,15,20,27,61,23,7.9,38,18,6,3.6,5.0,114,,,4192:1,,848:1,3055,33,20,9,18,34,,82,Y,1,,80,5,12,74.9,461,,,11,17,9,,,14,10,1413:1,23.8,23.9,100.0
"Pondera, MONTANA",6078,51057,28,88,55,13.3,2.6,20.4,,,15,21,21,45,25,7.2,37,19,9,3.7,5.2,101,,,1998:1,,468:1,1102,36,31,12,21,32,,83,Y,1,,67,9,2,78.2,391,,,12,17,9,,,14,8,608:1,23.8,21.9,100.0
"Powder River, MONTANA",1725,54102,16,89,74,0.0,2.2,65.6,,,14,19,,43,23,6.6,33,17,,3.5,4.9,,,,1702:0,1725:0,,1146,40,30,4,40,30,,76,Y,1,,79,6,9,78.4,,,,11,16,8,0,,15,14,863:1,17.2,30.3,100.0
"Powell, MONTANA",7051,60350,19,93,39,10.0,2.6,70.6,45,,16,22,25,83,25,8.2,36,20,7,3.7,4.7,122,31.8,28,1400:1,3526:1,705:1,2487,41,31,10,19,33,,81,Y,1,49,70,9,8,76.5,466,,,12,16,9,159,,11,7,881:1,14.6,20.8,100.0
"Prairie, MONTANA",1107,49838,14,86,34,0.0,3.0,,,,18,16,,,28,4.9,36,21,,4.1,5.4,,,,1091:0,1107:0,,,35,28,6,36,32,,84,Y,1,,75,21,5,,313,,,13,18,10,0,,18,15,1107:1,21.0,35.0,100.0
"Ravalli, MONTANA",47298,65789,14,93,64,9.8,2.8,58.2,31,4,13,20,11,62,21,9.0,30,17,8,3.3,4.8,115,15.7,21,1641:1,2056:1,426:1,1438,43,37,15,32,32,,86,Y,0.24,31,77,11,18,78.6,313,62,,10,16,8,52,13,14,10,1278:1,18.4,27.1,84.4
