"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Butler, KENTUCKY",12295,50824,22,81,45,13.0,4.1,62.2,20,,23,14,41,20,32,7.4,38,25,7,5.1,6.0,112,32.2,51,12294:1,12295:1,768:1,2533,34,42,10,51,39,,75,Y,0.62,30,72,8,2,72.4,625,81,,15,20,11,97,,11,6,820:1,22.5,19.1,100.0
"Caldwell, KENTUCKY",12570,51553,24,88,56,16.6,3.4,60.3,24,,22,14,36,37,30,7.9,37,23,8,4.8,5.8,95,18.7,19,4208:1,2514:1,1257:1,2517,43,25,9,41,39,,82,Y,0.18,23,73,11,27,73.0,609,88,,14,20,11,170,,8,4,898:1,22.8,21.3,52.1
"Calloway, KENTUCKY",37685,51949,21,90,69,13.3,4.0,80.9,22,6,20,15,14,70,27,7.4,40,21,7,4.5,5.7,79,20.9,28,2087:1,2094:1,919:1,4125,43,45,15,19,40,6,82,Y,0.39,38,64,14,40,75.5,457,44,,14,19,11,49,24,9,5,562:1,18.3,17.6,48.9
"Campbell, KENTUCKY",93300,74149,12,93,79,7.6,3.3,93.8,12,2,16,17,18,92,23,7.9,35,17,8,3.9,5.5,95,23.8,28,1861:1,1985:1,572:1,3656,47,56,15,33,35,,88,Y,0.08,41,72,14,139,77.1,391,46,5,11,17,9,180,46,6,3,880:1,20.3,17.7,17.1
"Carlisle, KENTUCKY",4720,54535,23,87,56,10.4,3.7,79.9,,,25,13,31,7,33,8.0,43,26,6,5.1,6.0,113,,,2396:1,4720:1,,3122,42,43,8,45,39,,87,Y,0.64,27,77,8,0,71.3,656,,,16,21,12,,,9,6,1573:1,23.3,20.3,100.0
"Carroll, KENTUCKY",10938,59226,23,83,46,8.3,3.1,86.7,33,,25,15,46,49,34,,42,26,9,5.2,6.2,119,27.3,42,3621:1,3646:1,1367:1,3329,43,39,17,25,41,,76,N,0,62,68,10,18,70.8,712,91,,16,21,12,57,62,8,5,1094:1,26.4,16.3,49.4
"Carter, KENTUCKY",26395,48285,26,81,46,6.4,7.0,85.5,15,,27,13,36,28,33,6.3,43,27,8,5.3,6.2,129,14.7,32,5282:1,6599:1,518:1,4915,30,38,11,43,39,13,74,Y,0.36,42,79,10,14,71.8,655,45,,17,22,13,23,65,9,4,880:1,22.2,20.2,79.7
"Casey, KENTUCKY",15920,43539,36,77,37,6.9,3.7,76.4,27,,28,13,36,10,37,7.1,43,29,7,5.6,6.4,104,18.8,19,7933:1,5307:1,936:1,6484,32,27,12,40,42,27,78,Y,0.61,34,76,9,4,73.4,568,88,,18,22,13,38,27,10,4,1137:1,22.7,20.9,100.0
"Christian, KENTUCKY",73037,56610,23,86,59,12.0,4.8,74.3,20,11,24,17,50,46,32,6.5,39,23,8,4.9,5.8,98,22.7,26,1644:1,624:1,193:1,4248,39,34,16,20,41,12,80,Y,0.19,43,50,16,45,72.6,624,82,7,15,19,13,209,28,9,4,265:1,27.7,12.8,29.1
"Clark, KENTUCKY",37061,61641,20,89,61,8.4,3.6,85.9,18,,19,15,34,77,28,7.8,38,21,9,4.5,5.6,134,28.2,37,2169:1,1853:1,882:1,2872,43,47,14,41,41,13,87,Y,0.16,46,72,12,68,73.2,583,42,,13,19,10,26,67,7,4,904:1,22.0,18.7,29.0
"Clay, KENTUCKY",19913,34473,46,72,38,5.9,5.6,60.8,15,13,31,13,45,99,39,4.8,43,32,12,5.9,6.2,115,9.9,21,2526:1,4978:1,948:1,3995,23,17,15,40,43,,78,Y,0.32,22,75,13,3,69.1,825,98,,19,23,14,81,52,10,4,424:1,20.4,16.1,100.0
"Clinton, KENTUCKY",9123,41739,34,81,48,6.5,4.8,81,,,27,13,45,52,36,7.4,41,28,9,5.4,6.1,118,24.3,32,1853:1,3041:1,507:1,2788,31,32,11,20,39,,73,N,0,43,73,11,3,72.8,608,,,17,22,13,102,41,10,5,1140:1,21.7,20.5,100.0
"Crittenden, KENTUCKY",8981,50452,28,86,51,14.5,4.1,84.7,27,,22,14,32,57,31,7.5,42,24,7,5.0,5.8,121,22,22,2237:1,8981:1,8981:1,5277,29,31,10,34,38,,74,N,0,35,80,9,0,71.9,644,,,15,20,11,,,8,5,1283:1,22.3,21.6,100.0
"Cumberland, KENTUCKY",5946,48864,33,80,42,5.1,3.2,62.6,,,26,13,38,7,36,7.6,43,27,8,5.4,6.3,102,25,21,1960:1,1189:1,496:1,4878,28,12,11,31,40,,75,Y,1,58,76,12,0,73.6,555,,,17,21,13,121,,8,4,991:1,21.4,23.0,100.0
"Daviess, KENTUCKY",103222,65949,15,91,64,12.6,3.9,70.6,20,4,20,15,28,87,29,7.8,42,21,9,4.5,5.4,75,18.7,24,1808:1,1518:1,314:1,2840,50,51,14,20,36,8,88,Y,0.23,29,68,11,74,75.5,475,54,6,13,19,10,115,17,7,4,447:1,24.1,18.1,26.0
"Edmonson, KENTUCKY",12269,51402,27,82,47,2.4,4.8,91.5,,,24,14,25,41,33,7.6,39,25,7,5.1,6.1,77,28.8,44,12291:1,6135:1,2454:1,3120,39,45,11,58,40,,83,Y,1,34,83,5,3,75.3,466,,,16,21,12,56,,10,5,1534:1,17.7,21.5,100.0
"Elliott, KENTUCKY",7293,40312,32,75,36,0.0,8.0,40.4,,,28,14,37,12,36,,44,28,12,5.5,6.2,110,,27,7381:1,2431:1,405:1,3640,30,32,11,60,41,,75,Y,1,,77,8,0,75.8,498,,,17,21,13,139,,7,2,1216:1,16.8,21.7,100.0
"Estill, KENTUCKY",14044,39402,25,76,47,10.6,4.8,63.6,29,,27,13,35,61,36,6.9,42,29,8,5.6,6.3,167,31.8,37,4697:1,2006:1,936:1,3906,37,29,14,48,40,,77,N,0,35,74,12,0,70.6,709,,,17,22,13,,109,9,5,540:1,21.3,19.2,71.6
"Fayette, KENTUCKY",320347,63667,16,92,76,11.3,3.1,84.1,13,8,17,17,16,97,27,7.9,36,16,9,3.8,5.3,92,23.2,23,832:1,666:1,184:1,2746,48,54,16,20,35,5,91,Y,0.01,35,54,15,164,77.4,396,56,5,11,16,10,412,44,9,4,270:1,20.4,15.2,2.9
"Fleming, KENTUCKY",15288,50012,28,81,52,5.3,4.4,38.8,,,23,15,32,50,32,7.7,39,24,7,5.1,6.0,79,12.9,21,3045:1,3822:1,2548:1,3281,36,35,13,45,38,,76,Y,0.51,19,74,8,1,73.5,546,,,15,20,11,48,25,9,5,1274:1,23.8,18.8,100.0
"Floyd, KENTUCKY",34978,37296,50,79,48,5.1,5.8,54,19,6,27,14,47,26,35,6.3,43,28,11,5.6,6.6,128,18.2,23,1764:1,1345:1,29:1,6852,27,33,15,29,41,15,80,N,0,39,71,14,17,68.8,824,64,8,17,23,13,50,59,9,4,372:1,22.4,19.7,78.2
"Franklin, KENTUCKY",51607,58456,19,92,69,21.1,3.4,120.2,17,7,19,15,23,73,28,7.5,38,19,10,4.4,5.4,113,31.6,37,2720:1,1290:1,543:1,3353,35,47,11,24,39,12,83,N,0,39,63,11,64,74.2,516,56,8,13,18,10,174,49,8,5,992:1,20.8,18.7,26.6
"Fulton, KENTUCKY",6382,40409,39,80,40,10.7,4.5,66,,,27,12,37,75,36,7.7,45,26,12,5.3,6.1,127,28.3,,6512:1,6382:1,3191:1,5362,37,31,17,27,43,,84,Y,0.43,31,64,13,7,67.5,817,175,,17,21,14,,,8,4,3191:1,20.7,21.9,64.2
"Gallatin, KENTUCKY",8763,59175,19,85,46,0.0,3.6,118.4,25,,23,15,31,46,32,,39,25,11,4.9,5.8,159,29.6,30,2194:1,8763:1,1461:1,1244,32,42,11,47,40,,82,Y,1,63,71,8,18,72.1,612,,,15,20,11,,72,9,6,1461:1,23.4,14.4,100.0
"Garrard, KENTUCKY",17589,57748,21,85,61,5.2,3.8,88.5,26,,21,15,31,33,29,,41,22,9,4.7,5.9,123,24.4,23,4341:1,4397:1,2513:1,3740,37,36,11,55,38,,83,Y,0.57,27,81,9,14,74.7,504,,,14,19,10,95,57,9,6,4397:1,21.7,19.4,100.0
"Grant, KENTUCKY",25502,66458,17,89,52,7.1,3.7,73.9,14,,21,16,34,63,31,8.3,43,22,9,4.5,5.5,123,19.6,36,2524:1,3188:1,1214:1,2473,34,44,12,51,38,,84,Y,0.08,39,72,8,42,73.2,563,55,,14,19,10,49,69,8,4,3643:1,26.4,14.5,100.0
"Graves, KENTUCKY",36412,53408,20,90,58,9.3,4.5,85,17,8,22,14,36,32,30,7.3,41,23,8,4.8,5.8,103,20.6,21,3662:1,2427:1,958:1,6045,41,42,12,25,41,,81,Y,0.52,33,75,12,24,73.5,559,60,,15,19,12,175,11,8,5,1214:1,24.0,18.9,66.6
"Grayson, KENTUCKY",26631,52130,22,84,45,6.0,4.6,60.3,24,7,25,14,39,21,34,6.4,41,27,8,5.4,6.3,123,21.1,26,1658:1,2959:1,832:1,3737,35,38,14,32,40,16,76,Y,0.34,25,77,11,23,72.2,627,67,,16,21,12,45,25,8,4,807:1,23.2,18.5,75.4
"Green, KENTUCKY",11365,46169,26,83,56,15.1,3.7,49,,,26,13,28,36,34,6.9,44,27,8,5.5,6.2,92,12.2,12,5646:1,2841:1,455:1,2762,35,32,12,43,41,,78,Y,0.59,,74,10,1,74.1,530,,,17,21,13,125,,10,6,874:1,20.9,21.1,100.0
"Greenup, KENTUCKY",35403,54462,20,90,65,8.1,5.8,83.4,21,,20,14,26,79,30,7.3,42,22,8,4.7,6.0,133,28.5,24,1981:1,2723:1,513:1,5443,37,46,10,34,40,,82,Y,0.22,39,79,9,32,72.6,613,43,,14,20,10,95,73,7,4,1041:1,21.0,22.4,42.7
"Hancock, KENTUCKY",9021,66300,18,87,64,12.1,4.2,80.4,27,,21,15,31,22,29,8.1,37,23,7,4.6,5.6,84,18.4,14,,1504:1,1804:1,2739,48,46,9,34,38,,84,Y,1,30,79,11,2,74.6,485,,,14,19,10,93,,7,4,2255:1,23.8,18.7,91.4
"Hardin, KENTUCKY",111862,61920,15,92,69,8.9,4.1,83.6,18,7,20,15,25,67,26,7.7,42,21,8,4.5,5.8,93,24.4,35,1666:1,1065:1,222:1,3598,41,44,11,28,38,12,85,Y,0.19,37,62,9,48,74.6,513,56,5,13,18,11,199,31,7,4,523:1,24.6,15.2,33.5
"Harlan, KENTUCKY",25662,36022,35,77,51,8.4,6.3,64.8,18,5,31,12,43,60,38,5.6,45,32,10,6.1,6.4,128,18.5,33,2907:1,3208:1,1974:1,7532,21,21,14,30,41,21,80,Y,0.1,33,69,11,14,67.0,944,73,,20,24,14,51,55,9,3,755:1,23.7,19.5,77.1
"Harrison, KENTUCKY",19103,60962,19,87,52,9.0,3.3,66.6,17,,21,14,33,57,29,7.7,42,23,8,4.7,5.7,126,9.3,23,1895:1,2729:1,1592:1,2048,35,49,13,44,37,,74,Y,0.27,41,71,12,22,73.1,584,,,14,19,11,,60,7,4,910:1,22.6,18.6,65.8
"Hart, KENTUCKY",19600,47229,24,78,36,10.8,3.9,47.3,11,,26,13,33,29,34,7.3,39,27,8,5.3,6.4,87,11.6,23,3892:1,3920:1,980:1,3211,32,37,12,35,41,15,80,Y,0.48,26,74,11,9,73.6,549,,,16,21,12,62,23,9,4,980:1,24.3,17.3,88.3
"Henderson, KENTUCKY",44046,55530,24,89,57,12.9,3.8,82.6,20,4,21,15,38,64,29,7.6,38,22,12,4.6,5.8,77,22.7,30,1927:1,1915:1,657:1,3826,47,50,13,28,38,,87,Y,0.25,35,64,13,72,74.3,520,60,9,14,19,11,185,12,7,4,759:1,22.4,19.4,36.5
"Henry, KENTUCKY",15771,65068,18,84,49,10.9,3.6,78.3,13,,23,14,29,21,31,8.0,40,24,8,4.9,6.0,121,19.6,27,1740:1,2629:1,1752:1,2366,46,44,16,47,39,13,80,Y,0.55,36,74,14,11,73.4,542,,,15,20,11,106,52,10,7,1971:1,23.0,18.9,100.0
"Hickman, KENTUCKY",4422,53838,27,88,64,11.3,4.3,76.1,,,23,12,34,51,32,7.8,39,24,8,4.9,5.8,113,,,,4422:1,,3698,40,42,7,21,40,,89,N,0,,77,4,1,73.6,543,,,15,20,12,,,10,7,2211:1,19.3,26.1,100.0
"Hopkins, KENTUCKY",44812,52198,28,89,56,17.9,4.4,64.9,25,,22,14,37,68,31,6.9,41,24,9,4.8,5.8,93,24.1,23,1003:1,2037:1,747:1,3031,40,43,12,26,40,10,85,Y,0.32,25,70,9,29,72.8,589,47,5,15,20,11,82,13,7,4,700:1,22.9,19.1,53.0
"Jackson, KENTUCKY",12973,41007,32,73,37,0.0,5.6,62.9,23,13,30,13,47,67,38,6.4,43,31,10,6.0,6.5,119,15.3,23,4328:1,3243:1,4324:1,3507,26,26,12,63,40,,83,Y,0.6,21,79,11,0,70.9,706,,,19,23,14,148,,9,5,1297:1,23.3,18.1,100.0
"Jefferson, KENTUCKY",773399,64719,20,91,70,9.8,3.8,79.4,16,16,19,16,21,92,28,8.1,37,18,9,3.9,5.7,124,17.9,22,1093:1,944:1,261:1,3046,48,53,14,24,36,8,89,N,0,35,62,13,176,74.1,524,71,6,12,18,11,514,62,8,3,411:1,21.8,17.6,1.6
"Jessamine, KENTUCKY",54254,69216,16,90,63,11.4,3.2,95.5,15,4,18,16,19,89,27,7.9,37,19,9,4.2,5.5,103,24.1,26,1341:1,2713:1,631:1,1924,44,51,12,37,37,7,89,N,0,43,69,12,49,76.3,442,44,6,13,18,10,163,49,8,5,1005:1,23.3,16.8,24.7
"Johnson, KENTUCKY",22244,42877,31,83,58,4.4,5.9,91.5,16,7,24,13,27,60,35,6.9,38,27,10,5.3,6.3,107,33.9,30,1735:1,7415:1,543:1,6816,33,36,14,25,40,,85,Y,0.11,43,69,12,20,70.5,729,,,16,21,12,58,25,8,4,890:1,22.1,19.5,73.8
"Kenton, KENTUCKY",170313,77284,14,92,72,7.2,3.3,97.6,16,3,17,17,23,86,25,8.0,34,18,9,4.0,5.0,106,25.7,26,1145:1,1812:1,460:1,3655,46,55,11,28,37,6,90,N,0,38,69,10,155,76.1,439,55,9,12,17,9,262,57,7,3,518:1,22.9,15.9,6.7
"Knott, KENTUCKY",13874,38456,42,72,55,5.7,6.1,59.2,25,,29,12,27,13,39,6.4,40,30,9,5.9,6.7,157,20.8,32,4684:1,2775:1,2312:1,4617,30,34,16,44,41,,76,Y,0.3,24,73,13,3,69.5,791,,,19,23,14,50,97,9,5,1261:1,20.0,21.0,100.0
"Knox, KENTUCKY",29791,36573,41,79,46,7.7,5.3,71.8,12,6,30,13,46,22,38,4.6,42,30,11,6.0,6.8,103,23.6,27,3739:1,3310:1,1103:1,3439,29,23,13,35,40,18,80,Y,0.26,48,64,14,24,70.6,752,60,8,19,23,14,48,42,9,3,465:1,23.4,17.7,62.0
"Larue, KENTUCKY",15163,53939,23,84,58,12.6,4.4,68.3,25,,22,15,33,57,31,7.4,41,23,10,4.9,5.8,98,21.2,24,7514:1,5054:1,1685:1,2357,40,43,12,43,39,,79,Y,0.57,40,75,14,3,73.1,552,84,,15,20,11,,27,9,5,3033:1,22.4,18.0,100.0
"Laurel, KENTUCKY",62885,50721,25,84,52,5.3,4.2,86.5,16,8,24,14,36,68,32,6.5,47,25,9,5.2,6.0,94,28.4,38,2607:1,2515:1,1123:1,3114,34,34,13,25,40,8,85,Y,0.24,46,71,10,34,73.0,589,50,7,16,21,12,111,25,9,4,537:1,22.6,17.3,61.0
"Lawrence, KENTUCKY",16109,42776,29,77,37,5.5,5.3,82.1,18,,27,13,32,11,36,6.4,42,29,10,5.5,6.3,137,20.9,36,2715:1,4027:1,102:1,4490,35,41,14,48,40,14,76,Y,0.56,39,74,10,5,71.1,706,,,17,21,13,37,51,9,4,620:1,24.0,18.9,76.0
"Lee, KENTUCKY",7261,34632,45,73,38,4.0,5.4,71.2,30,,31,13,48,80,40,6.6,41,32,8,6.1,6.6,190,,41,,7261:1,807:1,9334,24,22,14,43,42,,72,N,0,37,70,7,0,68.1,849,,,19,23,14,139,90,8,3,1210:1,17.8,18.3,100.0
"Leslie, KENTUCKY",10093,36666,37,82,57,3.9,6.6,66.3,23,,29,13,25,100,38,5.8,44,29,10,5.8,6.8,169,22.1,25,5139:1,5047:1,1682:1,4686,18,22,16,59,41,,78,Y,0.25,27,87,10,1,68.8,882,,,18,23,14,,40,8,4,481:1,21.4,19.8,100.0
"Letcher, KENTUCKY",20893,37854,35,79,56,4.2,6.1,79.5,18,7,28,12,33,68,37,,42,29,10,5.7,6.4,133,18.5,26,1771:1,2612:1,1229:1,8805,29,27,13,43,41,,80,N,0,41,74,10,13,68.8,816,59,,18,22,13,50,48,9,4,653:1,21.6,21.1,100.0
"Lewis, KENTUCKY",12954,44098,31,79,40,3.1,7.2,45.1,21,,30,13,39,3,38,7.0,43,32,9,6.0,6.6,123,13.7,26,6494:1,3239:1,2591:1,3783,30,32,11,59,42,,79,Y,0.73,29,79,9,5,70.9,699,86,,19,23,14,73,53,9,4,996:1,22.4,19.9,100.0
"Lincoln, KENTUCKY",24360,49814,24,83,49,11.1,4.7,74.9,14,,24,14,40,40,33,7.1,41,26,9,5.2,6.1,127,23.8,26,4041:1,12180:1,1059:1,3470,33,29,11,42,40,,79,Y,0.61,36,79,11,13,71.2,670,79,,16,21,12,,48,9,4,902:1,24.3,18.6,99.9
"Livingston, KENTUCKY",8963,55355,23,87,51,13.4,4.8,53.1,20,,22,14,32,48,29,6.9,39,23,8,4.9,5.8,101,18.6,29,2986:1,8963:1,1793:1,4542,43,37,11,37,38,,83,Y,1,19,82,10,4,72.7,628,,,15,20,11,91,,7,4,689:1,20.3,22.6,95.3
"Logan, KENTUCKY",27877,56823,20,88,53,14.8,3.5,68.1,12,,22,15,38,43,31,7.9,41,23,8,4.9,6.0,82,17.5,26,4629:1,3982:1,1742:1,3571,44,49,11,42,40,14,82,Y,0.45,36,74,9,17,74.2,511,114,10,15,20,11,109,17,9,6,1549:1,24.1,19.0,75.8
"Lyon, KENTUCKY",9101,58938,18,91,31,8.0,4.2,44.3,28,,20,16,23,64,28,7.9,39,22,8,4.5,5.5,133,14.8,,2934:1,4551:1,1517:1,3660,45,39,11,33,39,,86,Y,0.2,18,82,9,13,75.6,450,,,13,18,10,151,,8,5,758:1,13.6,23.8,100.0
"Madison, KENTUCKY",95187,60994,19,91,69,8.7,3.6,124.1,16,4,19,16,15,75,27,7.1,41,20,9,4.3,5.9,110,35.1,43,2104:1,2115:1,532:1,2567,42,40,13,37,41,6,87,Y,0.17,63,61,12,63,74.3,540,34,4,13,19,10,85,74,8,4,942:1,20.9,14.8,36.2
"Magoffin, KENTUCKY",11357,35669,37,72,39,2.6,10.5,70.1,,,30,12,41,6,39,5.8,46,31,11,6.0,6.7,147,19.1,11,2874:1,2839:1,568:1,4782,29,33,17,54,41,,77,Y,0.28,32,75,15,5,69.4,783,,,19,23,14,,53,10,4,631:1,22.4,19.2,100.0
"Marion, KENTUCKY",19775,53676,21,84,47,4.6,3.3,72.3,15,7,23,14,32,49,32,7.1,40,24,10,4.9,6.0,119,38.7,31,1973:1,3296:1,520:1,2441,46,38,13,20,41,,83,Y,0.33,52,74,11,28,73.4,560,133,,15,20,11,67,48,8,4,732:1,23.6,17.5,68.3
"Marshall, KENTUCKY",31777,64395,17,92,66,17.6,4.1,84.9,14,,19,16,24,52,27,8.2,37,20,8,4.3,5.3,89,15.2,27,2442:1,2889:1,2648:1,2821,46,45,9,28,38,,84,Y,0.36,33,83,8,16,74.6,480,93,,13,18,10,66,15,7,4,1324:1,19.9,22.7,85.2
"Martin, KENTUCKY",11095,34435,40,75,43,3.6,7.3,76.3,,,26,14,42,36,35,6.8,40,27,12,5.3,6.1,112,30,37,2785:1,11095:1,1387:1,5004,22,29,11,42,41,,80,N,0,39,79,13,3,71.6,692,,,16,21,12,83,63,8,3,1585:1,19.0,17.9,100.0
"Mason, KENTUCKY",16930,49029,26,86,61,15.4,4.8,64.7,17,,22,14,34,65,30,7.4,37,23,8,4.7,5.5,101,19.3,19,1881:1,1209:1,199:1,2582,37,41,11,27,39,,82,Y,0.32,36,69,12,27,72.0,626,81,,15,19,11,134,27,8,4,513:1,23.2,19.3,53.5
"McCracken, KENTUCKY",67490,60026,22,93,65,16.3,4.0,96,21,5,20,14,30,86,28,6.8,34,21,9,4.4,5.8,91,32.5,27,992:1,1071:1,386:1,3054,53,51,14,13,38,,88,Y,0.15,39,67,12,57,74.8,502,49,5,13,19,11,241,18,7,4,245:1,21.5,21.1,26.8
"McCreary, KENTUCKY",16701,35443,43,78,41,4.1,5.2,69.6,21,,31,13,44,100,39,6.7,44,31,10,5.9,6.6,96,19.7,32,16892:1,8351:1,835:1,3735,30,25,14,54,43,,72,Y,0.21,24,70,10,10,70.8,725,,,19,23,15,189,,10,4,440:1,21.6,16.4,100.0
"McLean, KENTUCKY",9105,55555,17,91,59,18.7,4.4,42.7,24,,19,15,29,2,28,8.4,39,20,10,4.5,5.6,74,24,16,,9105:1,2276:1,3645,47,45,9,48,39,,84,Y,1,24,80,6,0,74.9,503,,,13,19,10,92,,8,6,3035:1,23.2,20.1,100.0
"Meade, KENTUCKY",30001,69632,16,90,60,6.3,4.4,87.1,21,,20,15,22,51,28,7.7,38,21,7,4.6,6.0,103,23.5,33,4304:1,4286:1,1667:1,2725,45,41,10,49,40,,89,Y,0.54,38,74,9,8,74.8,506,42,,13,19,10,75,34,7,4,2308:1,21.8,15.7,90.6
"Menifee, KENTUCKY",6250,43226,38,80,42,0.0,5.6,80.2,,,27,13,41,84,36,6.8,44,28,9,5.4,6.3,165,36.1,20,2065:1,6250:1,284:1,4129,32,33,8,70,39,,71,Y,1,20,74,8,1,72.1,591,,,17,21,12,110,,9,4,417:1,17.7,21.4,100.0
"Mercer, KENTUCKY",22902,65292,18,90,63,10.5,3.7,85.2,15,,20,15,31,49,28,8.0,39,21,10,4.5,5.6,96,19.4,29,3808:1,4580:1,790:1,4079,36,34,9,40,39,,84,Y,0.2,38,74,8,27,74.0,532,,,13,18,10,62,36,8,4,1272:1,21.8,19.3,56.8
"Metcalfe, KENTUCKY",10370,44973,33,83,49,6.8,4.5,70.2,24,,24,14,42,56,32,7.6,40,25,10,5.0,5.9,101,21.1,28,5175:1,5185:1,943:1,2713,29,38,10,30,40,,82,Y,0.56,33,78,8,2,72.8,614,,,15,20,11,,,8,4,1481:1,23.3,19.7,100.0
"Monroe, KENTUCKY",11355,45872,29,82,47,7.1,3.3,40.7,,,25,14,43,43,33,7.2,40,26,9,5.2,6.1,95,,17,2247:1,1893:1,1622:1,9005,32,35,13,36,40,,77,Y,0.35,17,71,11,0,72.6,624,111,,16,21,12,,,9,5,1419:1,23.3,19.5,100.0
"Montgomery, KENTUCKY",28367,55924,18,85,54,8.2,4.5,75.2,14,,22,15,42,32,32,7.1,42,24,9,4.7,5.5,114,33.8,25,2016:1,1891:1,209:1,2976,42,47,12,38,39,,88,Y,0.17,45,66,11,33,72.6,607,38,9,15,20,11,127,65,8,4,556:1,22.9,16.8,50.5
"Morgan, KENTUCKY",14120,41863,31,77,42,2.2,5.3,65.8,14,,26,14,43,51,34,6.8,43,27,8,5.4,6.1,99,16,21,13820:1,3530:1,455:1,4460,28,30,13,46,42,,77,Y,0.64,43,79,11,0,73.7,547,,,16,20,12,,42,8,3,1284:1,17.5,17.7,100.0
"Muhlenberg, KENTUCKY",30455,48190,27,84,50,19.5,5.7,71.9,17,,23,14,44,61,31,7.4,41,24,10,5.2,5.8,110,24.5,28,3069:1,3807:1,1171:1,3370,44,29,14,34,39,,82,Y,0.31,42,82,10,15,73.3,584,67,,15,20,11,88,22,8,4,743:1,20.5,20.3,63.5
"Nelson, KENTUCKY",47392,66681,15,92,63,9.3,3.8,72.1,21,5,18,16,22,62,26,8.9,36,19,7,4.3,5.5,104,18.5,29,1884:1,1755:1,658:1,2864,47,49,9,39,38,,89,Y,0.22,46,77,10,30,74.7,484,38,,12,18,10,76,42,6,3,752:1,22.8,17.4,62.2
"Nicholas, KENTUCKY",7805,51100,26,82,43,10.4,4.1,36.4,,,25,14,36,8,34,7.7,42,26,9,5.2,6.2,121,26.5,20,7712:1,7805:1,2602:1,1635,35,48,12,66,39,,75,Y,0.26,26,71,10,3,73.0,591,,,16,21,12,,59,9,5,867:1,24.3,16.3,100.0
"Ohio, KENTUCKY",23527,50275,23,82,49,12.7,4.9,60.8,22,,22,15,42,38,32,7.9,40,24,9,5.0,5.9,81,22.9,32,4738:1,3921:1,2353:1,3608,42,36,12,47,38,,79,Y,0.41,31,78,9,4,73.9,540,63,,15,20,11,35,,9,4,905:1,23.5,18.9,76.2
"Oldham, KENTUCKY",69431,116173,4,94,77,6.4,3.3,60.8,14,,14,18,6,92,21,9.3,31,14,6,3.4,4.8,57,17.1,18,1675:1,2480:1,837:1,2240,54,52,7,46,34,,95,Y,0.12,32,87,6,37,79.6,308,33,,10,15,8,145,19,4,3,1578:1,24.4,14.7,25.2
"Owen, KENTUCKY",11290,60592,20,84,49,12.4,3.4,100.7,19,,21,15,28,23,29,8.0,38,23,7,4.7,5.7,155,30.4,35,2824:1,2258:1,2258:1,2459,34,36,14,58,37,,73,Y,1,49,86,9,2,73.0,528,,,14,19,10,62,54,9,6,2823:1,21.2,20.4,100.0
"Owsley, KENTUCKY",3929,32783,44,71,36,0.0,6.9,65.9,,,28,13,27,84,37,6.0,44,30,10,5.7,6.4,222,25.3,,,1965:1,655:1,3028,24,26,15,36,40,,70,N,0,56,63,8,0,65.8,1001,,,18,22,13,,87,9,4,655:1,22.7,20.7,100.0
"Pendleton, KENTUCKY",14676,65727,18,86,50,9.6,3.5,72.1,23,,22,15,36,29,30,8.0,38,24,9,4.9,5.7,141,11.4,32,3652:1,7338:1,1835:1,4927,41,47,19,64,40,,76,Y,1,34,74,17,2,72.1,563,96,,14,19,11,57,62,8,5,3669:1,22.8,17.7,100.0
"Perry, KENTUCKY",27361,43945,30,80,61,4.7,5.0,75.2,12,11,26,14,43,33,33,6.9,42,27,9,5.2,6.6,162,24.8,26,873:1,1368:1,128:1,6314,28,26,9,29,41,12,85,Y,0.2,35,76,8,17,65.4,1046,80,,16,21,12,107,76,8,3,215:1,23.1,18.4,72.6
"Pike, KENTUCKY",56286,41837,31,80,58,7.3,5.2,73.6,19,4,27,13,32,40,35,6.9,43,27,11,5.5,6.1,127,19.4,29,1335:1,1279:1,605:1,4956,26,40,14,32,40,,80,Y,0.09,35,74,14,21,70.3,752,59,7,17,21,12,51,50,9,4,339:1,20.3,20.4,84.8
"Powell, KENTUCKY",13083,42434,32,82,51,5.3,4.1,95.7,19,,23,15,55,87,32,7.6,40,24,9,5.0,5.9,141,32.5,31,13133:1,3271:1,1006:1,3257,32,31,14,46,41,,71,N,0,61,68,14,8,69.0,784,77,,15,20,11,55,66,7,4,872:1,23.8,16.9,100.0
